Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
GHDS,GREATER HUDSON BK (NY),OTCQX U.S. Premier,5.300000,110.844700,2500,Common Stock,USA,New York
DYAI,DYADIC INTL INC,OTCQX U.S. Premier,1.400000,155.831100,6000,Common Stock,USA,Florida
FDVA,FREEDOM BANK OF VIRGINIA,OTCQX U.S. Premier,13.110000,63.734800,9000,Common Stock,USA,Virginia
RYFL,ROYAL FINANCIAL INC,OTCQX U.S. Premier,14.400000,71.378100,0,Common Stock,USA,Illinois
FFNM,FIRST FED NRTHN MICH BNCP,OTCQX U.S. Premier,8.200000,123.740500,303,Common Stock,USA,Michigan
FRSB,FIRST RESOURCE BANK (PA),OTCQX U.S. Premier,10.300000,141.206900,656,Common Stock,USA,Pennsylvania
MNSB,MAINSTREET BANCSHARES INC,OTCQX U.S. Premier,17.500000,49.953300,0,Common Stock,USA,Virginia
CFST,COMMUNITIES FIRST FINL CP,OTCQX U.S. Premier,19.150000,110.296300,0,Common Stock,USA,California
TCNB,TOWN CENTER BANK (IL),OTCQX U.S. Premier,3.352000,523.484100,0,Common Stock,USA,Illinois
PBNK,PINNACLE BANK (CA),OTCQX U.S. Premier,10.500000,23.615900,0,Common Stock,USA,California
QNTO,QUAINT OAK BANCORP INC,OTCQX U.S. Premier,13.250000,207.324800,0,Common Stock,USA,Pennsylvania
FABK,FIRST ADVANTAGE BANCORP,OTCQX U.S. Premier,22.500000,100.863200,1042,Common Stock,USA,Tennessee
SBKK,SUNCREST BK (VISALIA CA),OTCQX U.S. Premier,11.200000,132.827900,0,Common Stock,USA,California
FIRT,FIRST BANCTRUST CORP,OTCQX U.S. Premier,21.250000,19.152200,0,Common Stock,USA,Illinois
OTCM,OTC MARKETS GROUP INC A,OTCQX U.S. Premier,27.750000,194.575500,14779,Common Stock,USA,New York
VLLX,VALLEY REPUBLIC BANCORP,OTCQX U.S. Premier,27.500000,23.787800,200,Common Stock,USA,California
AFCB,ATHENS BANCSHARES CORP,OTCQX U.S. Premier,38.000000,3.129800,0,Common Stock,USA,Tennessee
EMYB,EMBASSY BANCORP INC,OTCQX U.S. Premier,15.300000,20.861800,2100,Common Stock,USA,Pennsylvania
STND,STANDARD AVB FINANCIAL CP,OTCQX U.S. Premier,29.500000,64.906300,661,Common Stock,USA,Pennsylvania
PBAM,PRIVATE BANCORP OF AMER,OTCQX U.S. Premier,24.200000,43.672100,2300,Common Stock,USA,California
WBBW,WESTBURY BANCORP INC,OTCQX U.S. Premier,22.600100,280.145700,2156,Common Stock,USA,Wisconsin
FVCB,FVCBANKCORP INC,OTCQX U.S. Premier,17.450000,78.707400,171,Common Stock,USA,Virginia
FFMR,FIRST FARMERS FINANCIAL,OTCQX U.S. Premier,68.740000,155.722800,0,Common Stock,USA,Indiana
RIVE,RIVERVIEW FINCL CORP NEW,OTCQX U.S. Premier,13.000000,35.393600,573,Common Stock,USA,Pennsylvania
FCBK,FIRST CHOICE BK CERRITOS,OTCQX U.S. Premier,24.250000,11.775700,1084,Common Stock,USA,California
FFHD,FIRST ATLANTIC FINL HLDS,OTCQX U.S. Premier,18.300000,135.150000,15885,Common Stock,USA,Florida
PBCA,PBB BANCORP,OTCQX U.S. Premier,12.500000,9.761800,200,Common Stock,USA,California
FPBK,FIRST PRIORITY FINCL CORP,OTCQX U.S. Premier,8.480000,184.341500,30050,Common Stock,USA,Pennsylvania
CBWA,COMMENCEMENT BK TAC WASH,OTCQX U.S. Premier,15.410000,124.064400,6780,Common Stock,USA,Washington
PMHG,PRIME MERIDIAN HLDG CO,OTCQX U.S. Premier,21.500000,575.922900,0,Common Stock,USA,Florida
SABK,SOUTH ATLANTIC BANCSHARES,OTCQX U.S. Premier,16.450000,2.234600,0,Common Stock,USA,South Carolina
MCBS,METROCITY BANKSHARES INC,OTCQX U.S. Premier,19.000000,39.770200,0,Common Stock,USA,Georgia
MCBI,MOUNTAIN COMM BANCORP INC,OTCQX U.S. Premier,17.000000,69.835700,0,Common Stock,USA,Tennessee
AMPY,AMPLIFY ENERGY CORP,OTCQX U.S. Premier,10.400000,18.665100,6872,Common Stock,USA,Texas
TRIN,TRINITY CAPITAL CORP,OTCQX U.S. Premier,6.400000,542.020400,3090,Common Stock,USA,New Mexico
CALB,CALIFORNIA BANCORP,OTCQX U.S. Premier,19.300000,40.433900,5669,Common Stock,USA,California
IGXT,INTELGENX TECHS CORP,OTCQX U.S.,0.715500,161.230300,89055,Common Stock,Canada,Quebec
WEYL,WEYLAND TECH INC,OTCQX U.S.,3.550000,91.088300,1,Common Stock,China,Hong Kong
DPDW,DEEP DOWN INCORP,OTCQX U.S.,0.821000,91.627900,5127,Common Stock,USA,Texas
TMRC,TEXAS MINERAL RESOURCES,OTCQX U.S.,0.171750,99.293500,52400,Common Stock,USA,Texas
SOTK,SONO-TEK CORP,OTCQX U.S.,1.627000,177.151600,67285,Common Stock,USA,New York
SMDM,SINGING MACHINE CO INC,OTCQX U.S.,0.480000,196.433700,2537,Common Stock,USA,Florida
REPR,REPRO MED SYSTEMS INC,OTCQX U.S.,0.880000,282.119600,98250,Common Stock,USA,New York
MATN,MATEON THERAPEUTICS INC.,OTCQX U.S.,0.208010,50.054700,14051,Common Stock,USA,California
NOBH,NOBILITY HOMES INC,OTCQX U.S.,18.000000,11.196300,695,Common Stock,USA,Florida
CRMZ,CREDITRISKMONITOR.COM INC,OTCQX U.S.,1.750000,754.413500,12539,Common Stock,USA,New York
NNUTU,ROYAL HAWAIIAN ORCH D/U A,OTCQX U.S.,2.170000,105.123500,762,Units,USA,Hawaii
MACE,MACE SECURITY INTL INC,OTCQX U.S.,0.396000,189.448000,0,Common Stock,USA,Ohio
HPHW,HOOPER HOLMES INC,OTCQX U.S.,0.720000,168.260400,9370,Common Stock,USA,Kansas
HLND,HIGHLANDS BNKSHS OF VA,OTCQX U.S.,7.200000,53.585700,805,Common Stock,USA,Virginia
ENZN,ENZON PHARMS INC,OTCQX U.S.,0.312000,53.371400,46109,Common Stock,USA,New Jersey
CNIGO,CORNING NAT 6% PFD SER A,OTCQX U.S.,27.500000,0.000000,0,Preferred Stock,USA,New York
CNIGP,CORNING NAT 4.8% PFD B,OTCQX U.S.,22.000000,0.000000,0,Preferred Stock,USA,New York
TIXC,TIX CORP,OTCQX U.S.,0.350000,95.613900,2500,Common Stock,USA,California
BONT,BON-TON STORES INC,OTCQX U.S.,0.430000,287.930100,218050,Common Stock,USA,Pennsylvania
BDCO,BLUE DOLPHIN ENERGY CO,OTCQX U.S.,0.160000,426.283700,1900,Common Stock,USA,Texas
BBXTB,BBX CAPITAL CORP CL B,OTCQX U.S.,8.890000,18.972100,0,Common Stock,USA,Florida
HDYN,HYPERDYNAMICS CORP,OTCQX U.S.,0.127700,19.359500,33486,Common Stock,USA,Texas
LTRE,LEARNING TREE INTL INC,OTCQX U.S.,2.800000,18.122500,0,Common Stock,USA,Virginia
GLAE,GLASSBRIDGE ENTERPRISES,OTCQX U.S.,1.120000,74.455200,12659,Common Stock,USA,Minnesota
VTSI,VIRTRA INC,OTCQX U.S.,2.740800,77.714000,5566,Common Stock,USA,Arizona
SBSAA,SPANISH BRDCSTNG SYS A,OTCQX U.S.,0.355000,640.790200,4322,Common Stock,USA,Florida
HPPI,HEDGEPATH PHARMS INC,OTCQX U.S.,0.325450,84.421200,38466,Common Stock,USA,Florida
CXDO,CREXENDO INC,OTCQX U.S.,2.250000,136.704200,5123,Common Stock,USA,Arizona
BDMS,BIRNER DNTL MGMT SVCS INC,OTCQX U.S.,4.100000,25.851900,600,Common Stock,USA,Colorado
ONVC,ONLINE VACATION CTR HLDGS,OTCQX U.S.,1.500000,133.471900,1422,Common Stock,USA,Florida
OMCM,OMNICOM SYS INC,OTCQX U.S.,0.309500,28.894600,1700,Common Stock,USA,Florida
TRCK,TRACK GROUP INC,OTCQX U.S.,1.220000,28.409000,1550,Common Stock,USA,Illinois
OPCO,OURPET'S CO,OTCQX U.S.,1.340000,50.219100,0,Common Stock,USA,Ohio
ICTV,ICTV BRANDS INC,OTCQX U.S.,0.370000,403.772400,34500,Common Stock,USA,Pennsylvania
OSTBP,OVERSTOCK PFD VTG SER B,OTCQX U.S.,42.500000,102.064400,210,Preferred Stock,USA,Utah
STXS,STEREOTAXIS INC,OTCQX U.S.,0.800000,131.905300,13198,Common Stock,USA,Missouri
FTNW,FTE NETWORKS INC,OTCQX U.S.,7.400000,277.819400,1162,Common Stock,USA,Florida
AMAZ,AMAZING ENE OIL & GAS,OTCQX U.S.,0.660000,356.543400,101038,Common Stock,USA,Texas
ZDPY,ZONED PROPERTIES INC,OTCQX U.S.,0.820000,79.944300,11046,Common Stock,USA,Arizona
CREX,CREATIVE REALITIES INC,OTCQX U.S.,0.200000,307.103700,8000,Common Stock,USA,Kentucky
FLSS,FORBES ENE SVCS LTD,OTCQX U.S.,11.500000,17.789600,0,Common Stock,USA,Texas
TOMZ,TOMI ENVIRONMENTAL SLTNS,OTCQX U.S.,0.130000,78.106800,13500,Common Stock,USA,California
ZEST,ECOARK HOLDINGS INC,OTCQX U.S.,2.850000,78.761100,48157,Common Stock,USA,Arkansas
MCVT,MILL CITY VENTURES III,OTCQX U.S.,0.700000,453.051400,0,Common Stock,USA,Minnesota
IDWM,IDW MEDIA HLDGS INC (B),OTCQX U.S.,46.000000,94.042900,1645,Common Stock,USA,Connecticut
TRTC,TERRA TECH CORP,OTCQX U.S.,0.231300,153.092800,13366104,Common Stock,USA,California
FIIT,FIRST SECURITY INC KY,OTCQX U.S.,26.600000,0.959000,30,Common Stock,USA,Kentucky
JGWE,J G WENTWORTH CO A,OTCQX U.S.,0.011000,92.980100,689250,Common Stock,USA,Pennsylvania
RASP,RASNA THERAPEUTICS INC,OTCQX U.S.,2.500000,60.160400,0,Common Stock,USA,New York
FSAM,FIFTH STREET ASSET MGMT A,OTCQX U.S.,4.100000,370.018900,16480,Common Stock,USA,Connecticut
CNXR,CONNECTURE INC,OTCQX U.S.,0.210000,236.400900,43263,Common Stock,USA,Wisconsin
MPMQ,MPM HOLDINGS INC,OTCQX U.S.,19.450000,662.689900,0,Common Stock,USA,New York
CWBR,COHBAR INC,OTCQX U.S.,4.600000,85.506100,34054,Common Stock,USA,California
GBTC,BITCOIN INVT TR,OTCQX U.S.,1824.995000,176.962100,124991,Common Stock,USA,New York
AKOM,AERKOMM INC,OTCQX U.S.,5.800000,85.714300,200,Common Stock,USA,Nevada
IBTN,INSCORP INC,OTCQX U.S.,17.000000,91.898300,500,Common Stock,USA,Tennessee
ELIO,ELIO MOTORS INC,OTCQX U.S.,3.750000,74.665700,2677,Common Stock,USA,Arizona
AFGR,AFFINION GROUP HLDGS INC,OTCQX U.S.,12.000000,244.711500,0,Common Stock,USA,Connecticut
TGRF,TGR FINL INC,OTCQX U.S.,10.600000,46.078800,3600,Common Stock,USA,Florida
PKKW,PARKWAY ACQUISITION CORP,OTCQX U.S.,12.075000,159.445000,28329,Common Stock,USA,Virginia
TTEN,TITAN ENERGY LLC,OTCQX U.S.,1.000000,121.680600,22885,Common Stock,USA,Texas
GRWG,GROWGENERATION CORP,OTCQX U.S.,2.960000,396.066000,261221,Common Stock,USA,Colorado
AURX,NUO THERAPEUTICS INC NEW,OTCQX U.S.,0.140000,17.125600,0,Common Stock,USA,Maryland
PTRS,VIRGINIA PART BK FRED VA,OTCQX U.S.,12.950000,16.031300,0,Common Stock,USA,Virginia
COSO,COASTALSOUTH BANCSHARES,OTCQX U.S.,0.000000,,0,Common Stock,USA,South Carolina
VNRR,VANGUARD NATURAL RES INC,OTCQX U.S.,20.000000,154.098600,4643,Common Stock,USA,Texas
VNRRW,VANGUARD NAT RES PFD WT,OTCQX U.S.,2.070000,10.775200,788,Warrants,USA,Texas
VNRWW,VANGUARD NAT RES WT,OTCQX U.S.,2.000000,130.832400,3509,Warrants,USA,Texas
NVMM,NOVUME SOLUTIONS INC,OTCQX U.S.,4.550000,38.227000,301,Common Stock,USA,Virginia
NVMMP,NOVUME PFD CUM CONV SER A,OTCQX U.S.,0.000000,,0,Preferred Stock,USA,Virginia
NVMMW,NOVUME SOL WTS 11/8/23,OTCQX U.S.,3.250000,0.000000,0,Warrants,USA,Virginia
CABF,CAB FINL CORP,OTCQX U.S.,11.850000,321.692000,23487,Common Stock,USA,South Carolina
FSUGY,FORTESCUE METAL GRP S/ADR,OTCQX International Premier,6.940000,115.548800,121392,ADRs,Australia,Western Australia
FSUMF,FORTESCUE METAL GROUP LTD,OTCQX International Premier,3.490000,200.760400,854,Foreign Ordinary Shares,Australia,Western Australia
CYRBY,CYRELA BRAZIL RLTY S/ADR,OTCQX International Premier,3.600000,0.000000,0,ADRs,Brazil,
LZRFY,LOCALIZA RENT A CAR S/ADR,OTCQX International Premier,19.100000,23.122800,11886,ADRs,Brazil,
JBSAY,JBS S A S/ADR,OTCQX International Premier,5.275000,38.858700,330161,ADRs,Brazil,
ECPCY,ESTACIO PARTICIPA S/ADR,OTCQX International Premier,9.150000,2.641500,945,ADRs,Brazil,
CIOXY,CIELO SA S/ADR,OTCQX International Premier,7.200000,83.525300,284280,ADRs,Brazil,
MRVSY,MINERVA SA S/ADR,OTCQX International Premier,12.990000,0.939000,0,ADRs,Brazil,
KROTY,KROTON EDUCACIONAL S/ADR,OTCQX International Premier,5.490000,32.701600,56460,ADRs,Brazil,
BDRAF,BOMBARDIER INC A,OTCQX International Premier,2.477500,46.144800,16213,Foreign Ordinary Shares,Canada,Quebec
BDRBF,BOMBARDIER INC B,OTCQX International Premier,2.451000,45.194600,137323,Foreign Ordinary Shares,Canada,Quebec
TFIFF,TFI INTERNATIONAL INC ORD,OTCQX International Premier,24.946700,106.462300,0,Foreign Ordinary Shares,Canada,Quebec
ACDVF,AIR CANADA INC VTG & VAR,OTCQX International Premier,19.610000,139.009100,16141,Foreign Ordinary Shares,Canada,Quebec
CESDF,CES ENERGY SOLUTIONS ORD,OTCQX International Premier,4.710000,56.366300,4564,Foreign Ordinary Shares,Canada,Alberta
IVPAF,IVANHOE MINES LTD A,OTCQX International Premier,3.340000,91.518000,75085,Foreign Ordinary Shares,Canada,British Columbia
IESFY,INTERCONEXION ELEC S/ADR,OTCQX International Premier,121.760000,0.432000,7,ADRs,Colombia,
CIBEY,COMML INTL BK S/ADR,OTCQX International Premier,4.400000,123.134600,12086,ADRs,Egypt,
CMGGF,COMML INTL BK LTD S/GDR,OTCQX International Premier,4.590000,395.696000,0,New York Registry Shs,Egypt,
UPMKY,UPM-KYMMENE CORP ADR,OTCQX International Premier,29.690000,91.201800,3932,ADRs,Finland,
MXCYY,METSO CORP S/ADR,OTCQX International Premier,8.600000,63.293500,424,ADRs,Finland,
DANOY,DANONE S/ADR,OTCQX International Premier,16.470000,79.329300,255487,ADRs,France,
GPDNF,GROUPE DANONE,OTCQX International Premier,84.250000,246.039500,50,Foreign Ordinary Shares,France,
AXAHF,AXA SA ORD,OTCQX International Premier,30.450000,26.587100,410,Foreign Ordinary Shares,France,
AXAHY,AXA S/ADR,OTCQX International Premier,30.400000,70.291400,98916,ADRs,France,
BNPQF,BNP PARIBAS ORD,OTCQX International Premier,76.160000,83.942900,200,Foreign Ordinary Shares,France,
BNPQY,BNP PARIBAS SPONS ADR,OTCQX International Premier,38.040000,84.559100,215217,ADRs,France,
TCLRY,TECHNICOLOR S/ADR,OTCQX International Premier,3.660000,82.694000,0,ADRs,France,
PGPEF,PUBLICIS GROUPE ACT,OTCQX International Premier,65.960000,302.641400,9312,Foreign Ordinary Shares,France,
PUBGY,PUBLICIS GROUP SA S/ADR,OTCQX International Premier,16.610000,80.961100,30200,ADRs,France,
BASFY,BASF SE S/ADR,OTCQX International Premier,27.940000,184.705400,84213,ADRs,Germany,
BFFAF,BASF SE ORD,OTCQX International Premier,111.246700,263.925900,225,Foreign Ordinary Shares,Germany,
DTEGF,DEUTSCHE TELEKOM AG REG,OTCQX International Premier,18.030000,65.370200,660,Foreign Ordinary Shares,Germany,
DTEGY,DEUTSCHE TELEKOM AG S/ADR,OTCQX International Premier,17.985000,72.735300,124829,ADRs,Germany,
DLAKF,DEUTSCHE LUFTHANSA AG REG,OTCQX International Premier,34.800000,487.459800,15,Foreign Ordinary Shares,Germany,
DLAKY,DEUTSCHE LUFTHANSA S/ADR,OTCQX International Premier,35.050000,108.218300,40347,ADRs,Germany,
ALIZF,ALLIANZ AG NAMEN AKT,OTCQX International Premier,236.500000,66.649900,250,Foreign Ordinary Shares,Germany,
AZSEY,ALLIANZ SE SP/ADR,OTCQX International Premier,23.600000,74.618200,149389,ADRs,Germany,
ADDDF,ADIDAS AG ORD,OTCQX International Premier,211.100000,25.382900,102,Foreign Ordinary Shares,Germany,
ADDYY,ADIDAS AG S/ADR,OTCQX International Premier,104.760000,77.188500,57787,ADRs,Germany,
IFNNF,INFINEON TECHS AG,OTCQX International Premier,26.630000,58.096300,1865,Foreign Ordinary Shares,Germany,
IFNNY,INFINEON TECHS AG S/ADR,OTCQX International Premier,26.520000,217.074200,184449,ADRs,Germany,
FSNUF,FRESENIUS SE & CO,OTCQX International Premier,78.756000,298.471600,0,Foreign Ordinary Shares,Germany,
FSNUY,FRESENIUS SE S/ADR,OTCQX International Premier,18.520000,126.994700,31488,ADRs,Germany,
KPLUF,K PLUS S AG ORD,OTCQX International Premier,24.895000,212.905900,0,Foreign Ordinary Shares,Germany,
KPLUY,K PLUS S AG S/ADR,OTCQX International Premier,11.580000,66.614500,96,ADRs,Germany,
STWRY,SOFTWARE AG S/ADR,OTCQX International Premier,13.940000,41.136600,0,ADRs,Germany,
CCGGY,C&C GROUP PLC S/ADR,OTCQX International Premier,10.310000,105.097700,1354,ADRs,Ireland,
EXPGF,EXPERIAN PLC ORD,OTCQX International Premier,20.610000,30.651600,1584,Foreign Ordinary Shares,Ireland,
EXPGY,EXPERIAN PLC S/ADR,OTCQX International Premier,20.740000,51.038200,24550,ADRs,Ireland,
DELTY,DELTA GALIL INDUS LTD ADR,OTCQX International Premier,31.810000,0.000000,0,ADRs,Israel,
WACLY,WACOAL HLDGS SP/ADR,OTCQX International Premier,157.540000,143.106100,21,ADRs,Japan,
WMMVY,WAL-MART DE MEX V S/ADR,OTCQX International Premier,23.800000,116.833900,42018,ADRs,Mexico,
GBOOF,GRUPO FIN BANORTE  ORD,OTCQX International Premier,5.620000,22.400300,263,Foreign Ordinary Shares,Mexico,
GBOOY,GRUPO FINC BANORTE S/ADR,OTCQX International Premier,29.350000,55.592300,12996,ADRs,Mexico,
NHYDY,NORSK HYDRO A S ADS,OTCQX International Premier,6.740000,41.651200,29998,ADRs,Norway,
NHYKF,NORSK HYDRO AS ORD,OTCQX International Premier,6.720000,202.130300,704,Foreign Ordinary Shares,Norway,
ROSYY,PJSC ROSTELECOM S/ADR,OTCQX International Premier,6.760000,285.917100,100,ADRs,Russia,
GZPFY,GAZPROM NEFT PJSC  S/ADR,OTCQX International Premier,21.450000,80.713800,361,ADRs,Russia,
TMKXY,TMK OAO S/ADR,OTCQX International Premier,5.290000,0.000000,0,ADRs,Russia,
RSHYY,RUSHYDRO PJSC S/ADR,OTCQX International Premier,1.330000,17.288100,3600,ADRs,Russia,
IMPUY,IMPALA PLATINUM LTD S/ADR,OTCQX International Premier,2.640000,59.826000,40970,ADRs,South Africa,
REPYF,REPSOL YPF SA ORD,OTCQX International Premier,18.140000,9.804400,0,Foreign Ordinary Shares,Spain,
REPYY,REPSOL SA ADR,OTCQX International Premier,18.380000,94.518100,25100,ADRs,Spain,
RHHBF,ROCHE HOLDING LTD ORD,OTCQX International Premier,255.900000,60.704200,585,Foreign Ordinary Shares,Switzerland,
RHHBY,ROCHE HOLDING LTD S/ADR,OTCQX International Premier,31.300000,171.772700,2912964,ADRs,Switzerland,
RHHVF,ROCHE HOLDING DIV RTS,OTCQX International Premier,250.200000,103.924800,26093,Rights,Switzerland,
ZFSVF,ZURICH INS GROUP ORD,OTCQX International Premier,302.150000,115.630900,2037,Foreign Ordinary Shares,Switzerland,
ZURVY,ZURICH INS GROUP S/ADR,OTCQX International Premier,30.220000,127.551500,381744,ADRs,Switzerland,
FERGY,FERGUSON PLC S/ADR,OTCQX International Premier,7.390000,92.379000,86394,ADRs,Switzerland,
WOSCF,FERGUSON PLC ORD,OTCQX International Premier,73.150000,258.341500,0,Foreign Ordinary Shares,Switzerland,
ADRNY,KONINKLIJKE AD N.V. S/ADR,OTCQX International Premier,21.650000,60.566900,46657,ADRs,The Netherlands,
AHODF,KONINKLIJKE AHOLD DEL ORD,OTCQX International Premier,21.900000,83.640200,235,Foreign Ordinary Shares,The Netherlands,
HEINY,HEINEKEN N V S/ADR,OTCQX International Premier,50.700000,63.545000,11445,ADRs,The Netherlands,
HINKF,HEINEKEN N V REG,OTCQX International Premier,101.468840,6.386900,1462,Foreign Ordinary Shares,The Netherlands,
RDSMY,ROYAL DSM NV S/ADR,OTCQX International Premier,23.410000,100.162600,27924,ADRs,The Netherlands,
AKZOF,AKZO NOBEL NV ORD,OTCQX International Premier,90.200000,89.824500,0,Foreign Ordinary Shares,The Netherlands,
AKZOY,AKZO NOBEL N V S/ADR,OTCQX International Premier,30.390000,92.121800,17175,ADRs,The Netherlands,
ASMIY,ASM INTL NV,OTCQX International Premier,67.300000,36.830100,519,ETFs,The Netherlands,
HKHHF,HEINEKEN HOLDING NV ORD,OTCQX International Premier,95.520000,203.219300,266,Foreign Ordinary Shares,The Netherlands,
HKHHY,HEINEKEN HOLDING NV S/ADR,OTCQX International Premier,47.900000,863.942100,180,ADRs,The Netherlands,
OCINY,OCI NV S/ADR,OTCQX International Premier,22.150000,142.926900,0,ADRs,The Netherlands,
TKGBF,TURKIYE GARANTI BK,OTCQX International Premier,2.770000,0.000000,0,Foreign Ordinary Shares,Turkey,
TKGBY,TURKIYE GARANTI BNK S/ADR,OTCQX International Premier,2.500000,151.186500,327053,ADRs,Turkey,
